,title,id,all
26,Captain America: Civil War,271110,anthonyrusso chrisevans robertdowneyjr. scarlettjohansson sebastianstan anthonymackie adventure action sciencefiction civilwar war marvelcomic sequel superhero basedoncomicbook imax aftercreditsstinger duringcreditsstinger marvelcinematicuniverse 3d
27,Battleship,44833,peterberg taylorkitsch alexanderskarsgård rihanna brooklyndecker tadanobuasano thriller action adventure sciencefiction fight u.s.navy mindreading hongkong soccer scientist fictionalwar naval armada battleship navalcombat jdsmyoko lostcommunication taser buoy communicationsexpert jointchiefsofstaff crashlanding jetfighterpilot navylieutenant permissiontomarry ussjohnpauljones basedonboardgame aftercreditsstinger mightymo ussmissouri
28,Jurassic World,135397,colintrevorrow chrispratt brycedallashoward irrfankhan vincentd'onofrio nickrobinson action adventure sciencefiction thriller monster dna tyrannosaurusrex velociraptor island sequel suspense disaster escape dinosaur amusementpark animalattack themepark jurassicpark 3d animalhorror
29,Skyfall,37724,sammendes danielcraig judidench javierbardem ralphfiennes naomieharris action adventure thriller spy secretagent sociopath killer artgallery britishsecretservice istanbulturkey imax uzi boobytrap impersonatingapoliceofficer macao
30,Spider-Man 2,558,samraimi tobeymaguire kirstendunst jamesfranco alfredmolina rosemaryharris action adventure fantasy dualidentity loveofone'slife pizzaboy marvelcomic sequel superhero doctor scientist tentacle death supervillain
31,Iron Man 3,68721,shaneblack robertdowneyjr. gwynethpaltrow doncheadle guypearce rebeccahall action adventure sciencefiction terrorist waronterror tennessee malibu marvelcomic superhero basedoncomicbook tonystark ironman aftercreditsstinger marvelcinematicuniverse mandarin 3d warmachine ironpatriot extremis
32,Alice in Wonderland,12155,timburton miawasikowska johnnydepp annehathaway helenabonhamcarter crispinglover family fantasy adventure basedonnovel fictionalplace queen fantasy aliceinwonderland fantasyworld 3d
33,X-Men: The Last Stand,36668,brettratner hughjackman halleberry ianmckellen patrickstewart famkejanssen adventure action sciencefiction thriller mutant marvelcomic basedoncomicbook superhuman beast cyclops aftercreditsstinger
34,Monsters University,62211,danscanlon billycrystal johngoodman stevebuscemi helenmirren noahjohnston animation family monster dormitory games animation bestfriend university scary aftercreditsstinger
35,Transformers: Revenge of the Fallen,8373,michaelbay shialabeouf meganfox joshduhamel rainnwilson tyresegibson sciencefiction action adventure egypt sun chaos symbol artifact transformers tank robot imax duringcreditsstinger
36,Transformers: Age of Extinction,91314,michaelbay markwahlberg stanleytucci kelseygrammer nicolapeltz jackreynor sciencefiction action adventure sequel alien transformers giantrobot robot imax transformingrobot
37,Oz: The Great and Powerful,68728,samraimi jamesfranco milakunis rachelweisz michellewilliams zachbraff fantasy adventure family circus witch magic hope illusion lost magictrick wizard 3d
38,The Amazing Spider-Man 2,102382,marcwebb andrewgarfield emmastone jamiefoxx danedehaan campbellscott action adventure fantasy obsession marvelcomic sequel basedoncomicbook electrocution medicalexperiment electricity superpowers
39,TRON: Legacy,20526,josephkosinski garretthedlund jeffbridges oliviawilde bruceboxleitner yayadacosta adventure action sciencefiction artificialintelligence secretidentity computerprogram dystopia computer deception duel motorcycle neonlight autocracy
40,Cars 2,49013,johnlasseter owenwilson larrythecableguy michaelcaine emilymortimer johnturturro animation family adventure comedy carrace sequel comedy anthropomorphism bestfriend duringcreditsstinger
41,Green Lantern,44912,martincampbell ryanreynolds blakelively petersarsgaard timrobbins markstrong adventure action thriller sciencefiction dccomics transformation superhero alien alieninfection magicalobject protector superpowers origin 3d
42,Toy Story 3,10193,leeunkrich tomhanks timallen nedbeatty joancusack michaelkeaton animation family comedy hostage college toy barbie animation escape daycare teddybear duringcreditsstinger toycomestolife personification inanimateobjectscomingtolife toystory
43,Terminator Salvation,534,mcg christianbale samworthington antonyelchin moonbloodgood brycedallashoward action sciencefiction thriller savingtheworld artificialintelligence prophecy sanfrancisco cyborg killerrobot gasstation post-apocalyptic dystopia army firearm wartime losangeles
44,Furious 7,168259,jameswan vindiesel paulwalker dwaynejohnson michellerodriguez tyresegibson action carrace speed revenge suspense car race musclecar
45,World War Z,72190,marcforster bradpitt mireilleenos abigailhargrove sterlingjerins jamesbadgedale action drama horror sciencefiction thriller dystopia apocalypse zombie nuclearweapons multipleperspectives zombieapocalypse
46,X-Men: Days of Future Past,127585,bryansinger hughjackman jamesmcavoy michaelfassbender jenniferlawrence halleberry action adventure fantasy sciencefiction 1970s mutant timetravel marvelcomic basedoncomicbook superhuman storm beast aftercreditsstinger changingthepastorfuture
47,Star Trek Into Darkness,54138,j.j.abrams chrispine zacharyquinto zoesaldana karlurban simonpegg action adventure sciencefiction spacecraft friendship sequel futuristic space alien imax spaceopera terroristbombing 3d
48,Jack the Giant Slayer,81005,bryansinger nicholashoult eleanortomlinson ewanmcgregor stanleytucci ianmcshane action family fantasy basedonfairytale giant
49,The Great Gatsby,64682,bazluhrmann leonardodicaprio tobeymaguire careymulligan joeledgerton elizabethdebicki drama romance basedonnovel infidelity obsession hope 3d
50,Prince of Persia: The Sands of Time,9543,mikenewell jakegyllenhaal gemmaarterton benkingsley alfredmolina stevetoussaint adventure fantasy action romance persia sandstorm brotheragainstbrother armageddon regent basedonvideogame
51,Pacific Rim,68726,guillermodeltoro idriselba charliehunnam charlieday ronperlman burngorman action sciencefiction adventure dystopia giantrobot giantmonster apocalypse imax duringcreditsstinger 3d
52,Transformers: Dark of the Moon,38356,michaelbay shialabeouf johnmalkovich kenjeong francesmcdormand joshduhamel action sciencefiction adventure moon spacecraft traitor bodyguard alienplanet basedoncartoon transformers giantrobot sabotage worddomination commando duringcreditsstinger
53,Indiana Jones and the Kingdom of the Crystal Skull,217,stevenspielberg harrisonford cateblanchett shialabeouf raywinstone karenallen adventure action savingtheworld riddle whip treasure mexicocity leatherjacket machinegun alienphenomenons mayacivilization peru treasurehunt nuclearexplosion refrigerator archaeologist indianajones archeology 
54,The Good Dinosaur,105864,petersohn raymondochoa jackbright jeffreywright francesmcdormand maleahnipay-padilla adventure animation family tyrannosaurusrex friends alternatehistory dinosaur fear storm nature human journey
55,Brave,62177,brendachapman kellymacdonald juliewalters billyconnolly emmathompson kevinmckidd animation adventure comedy family action fantasy scotland rebel bravery kingdom archer wish bear scot rebelliousdaughter turnsintoanimal archery ruins aftercreditsstinger peaceoffering womandirector courage 3d
56,Star Trek Beyond,188927,justinlin chrispine zacharyquinto karlurban simonpegg zoesaldana action adventure sciencefiction sequel stranded hatred spaceopera
57,WALL·E,10681,andrewstanton benburtt elissaknight jeffgarlin fredwillard johnratzenberger animation family romanticcomedy
58,Rush Hour 3,5174,brettratner christucker jackiechan hiroyukisanada maxvonsydow yvanattal action comedy crime thriller ambassador
59,2012,14161,rolandemmerich johncusack amandapeet chiwetelejiofor thandienewton oliverplatt action adventure sciencefiction civilization naturaldisaster endoftheworld disaster apocalypse destruction volcaniceruption mayan ark solar destructionofmankind
60,A Christmas Carol,17979,robertzemeckis garyoldman jimcarrey stevevalentine darylsabara sageryan animation drama holiday basedonnovel victorianengland money christmaseve scrooge christmascarol ghost lesson charlesdickens christmas
61,Jupiter Ascending,76757,lillywachowski milakunis channingtatum seanbean eddieredmayne douglasbooth sciencefiction fantasy action adventure jupiter space womandirector 3d interspeciesromance
62,The Legend of Tarzan,258489,davidyates alexanderskarsgård margotrobbie christophwaltz samuell.jackson djimonhounsou action adventure africa feralchild tarzan jungle animalattack
63,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",411,andrewadamson williammoseley annapopplewell skandarkeynes georgiehenley liamneeson adventure family fantasy savingtheworld witch basedonnovel brothersisterrelationship selfsacrifice winter cupboard beaver lion fairy-talefigure battle narnia fantasyworld duringcreditsstinger
64,X-Men: Apocalypse,246655,bryansinger jamesmcavoy michaelfassbender jenniferlawrence nicholashoult oscarisaac sciencefiction mutant supernaturalpowers marvelcomic superhero basedoncomicbook superhuman apocalypse superheroteam worlddomination aftercreditsstinger 1980s
65,The Dark Knight,155,christophernolan christianbale heathledger aaroneckhart michaelcaine maggiegyllenhaal drama action crime thriller dccomics crimefighter secretidentity scarecrow sadism chaos gothamcity vigilante joker superhero basedoncomicbook tragichero organizedcrime criminalmastermind districtattorney imax supervillain superpowers batman
66,Up,14160,petedocter edasner christopherplummer jordannagai bobpeterson delroylindo animation comedy family adventure agedifference centralandsouthamerica balloon animation floatingintheair duringcreditsstinger exploring
67,Monsters vs Aliens,15512,conradvernon sethrogen reesewitherspoon hughlaurie paulrudd kiefersutherland animation family adventure sciencefiction alien giantrobot duringcreditsstinger
68,Iron Man,1726,jonfavreau robertdowneyjr. terrencehoward jeffbridges shauntoub gwynethpaltrow action sciencefiction adventure middleeast armsdealer malibu marvelcomic superhero basedoncomicbook tonystark ironman aftercreditsstinger marvelcinematicuniverse counterterrorism agentcoulson
69,Hugo,44826,martinscorsese benkingsley sachabaroncohen asabutterfield chloëgracemoretz raywinstone adventure drama family library clock filmdirector key toy boy love orphan robot automaton hiding filmmaking legbrace doberman 3d
70,Wild Wild West,8487,barrysonnenfeld willsmith kevinkline kennethbranagh salmahayek m.emmetwalsh action adventure comedy sciencefiction western steampunk basedontvseries steamlocomotive drag
71,The Mummy: Tomb of the Dragon Emperor,1735,robcohen brendanfraser jetli johnhannah mariabello lukeford adventure action fantasy 
72,Suicide Squad,297761,davidayer willsmith margotrobbie joelkinnaman violadavis jaredleto action adventure crime fantasy sciencefiction dccomics shareduniverse antihero secretmission villain superhero supervillain dcextendeduniverse
73,Evan Almighty,2698,tomshadyac stevecarell laurengraham johngoodman jimmybennett johnmichaelhiggins fantasy comedy family fathersonrelationship dailylife marriedcouple support father marriage faith baustelle rescue animal nature duringcreditsstinger noah'sark
74,Edge of Tomorrow,137113,dougliman tomcruise emilyblunt brendangleeson billpaxton jonasarmstrong action sciencefiction dejavu timewarp restart dystopia war alien militaryofficer soldier alieninvasion exoskeleton
75,Waterworld,9804,kevinreynolds kevincostner chaimgirafi rickaviles r.d.call zittokazann adventure action ocean tattoo mutant water dystopia doomsday
76,G.I. Joe: The Rise of Cobra,14869,stephensommers dennisquaid channingtatum marlonwayans siennamiller josephgordon-levitt adventure action thriller sciencefiction terrorist secret hostage technology warhead government president revenge murder attack explosion scientist lasers evil cobra
77,Inside Out,150540,petedocter amypoehler phyllissmith richardkind billhader lewisblack drama comedy animation family dream cartoon imaginaryfriend animation family moving kids unicorn duringcreditsstinger 3d emotions
78,The Jungle Book,278927,jonfavreau neelsethi billmurray benkingsley idriselba scarlettjohansson family adventure drama fantasy basedonnovel snake wolf elephant tiger feralchild panther remake bear jungle talkinganimal orphan animal talkingtoanimals
79,Iron Man 2,10138,jonfavreau robertdowneyjr. gwynethpaltrow doncheadle scarlettjohansson mickeyrourke adventure action sciencefiction malibu marvelcomic superhero basedoncomicbook revenge aftercreditsstinger marvelcinematicuniverse
80,Snow White and the Huntsman,58595,rupertsanders kristenstewart charlizetheron chrishemsworth samclaflin ianmcshane adventure fantasy drama queen magic fairytale immortality forest deception woman eternalyouth snowwhite evilqueen evilstepmother imprisoned sorceress
81,Maleficent,102651,robertstromberg angelinajolie ellefanning sharltocopley samriley junotemple fantasy adventure action family romance fairytale villain sleepingbeauty darkfantasy basedonfairytale adaptation retelling literaryadaptation 3d
82,Dawn of the Planet of the Apes,119450,mattreeves andyserkis jasonclarke garyoldman kerirussell tobykebbell sciencefiction action drama thriller leader colony post-apocalyptic dystopia forest sequel woods ape scientist monkey medicalresearch animalattack plague 3d
83,The Lovers,79698,rolandjoffé joshhartnett simonekessell tamsinegerton aliceenglert bipashabasu action adventure sciencefiction romance 
84,47 Ronin,64686,carlrinsch keanureeves hiroyukisanada koushibasaki tadanobuasano mintanaka drama action adventure fantasy japan suicide samurai basedontruestory samuraisword ronin shogun halfbreed 3d
85,Captain America: The Winter Soldier,100402,anthonyrusso chrisevans samuell.jackson scarlettjohansson robertredford sebastianstan action adventure sciencefiction washingtond.c. future shield marvelcomic superhero basedoncomicbook captainamerica aftercreditsstinger duringcreditsstinger marvelcinematicuniverse 3d politicalthriller
86,Shrek Forever After,10192,mikemitchell mikemyers eddiemurphy camerondiaz antoniobanderas julieandrews comedy adventure fantasy animation family ogre 3d
87,Tomorrowland,158852,bradbird brittrobertson georgeclooney raffeycassidy thomasrobinson hughlaurie adventure family mystery sciencefiction inventor apocalypse destiny imax dreamer futuristiccar futuristiccity
88,Big Hero 6,177572,chriswilliams scottadsit ryanpotter danielhenney t.j.miller jamiechung adventure family animation action comedy brotherbrotherrelationship hero talent revenge bestfriend anotherdimension robot boygenius hate aftercreditsstinger moraldilemma 3d teensuperheroes deadbrother
89,Wreck-It Ralph,82690,richmoore johnc.reilly sarahsilverman jackmcbrayer janelynch alantudyk family animation comedy adventure supportgroup productplacement bullying racing arcade medal selfesteem curiosity precociouschild aftercreditsstinger duringcreditsstinger firstpersonshooter glitch carefree videogamer q*bert interruptedwedding socialreject
90,The Polar Express,5255,robertzemeckis tomhanks michaeljeter nonagaye peterscolari eddiedeezen adventure animation family fantasy santaclaus nerd faith gift bell beard northpole chute trestle ticket christmas
91,Independence Day: Resurgence,47933,rolandemmerich liamhemsworth jeffgoldblum billpullman maikamonroe selaward action adventure sciencefiction alternatehistory alieninvasion
92,How to Train Your Dragon,10191,chrissanders jaybaruchel gerardbutler craigferguson americaferrera jonahhill fantasy adventure animation family flying blacksmith arena island night ship training village forest viking friendship ignorance flight nest dragon battle combat well warrior
93,Terminator 3: Rise of the Machines,296,jonathanmostow arnoldschwarzenegger nickstahl clairedanes kristannaloken davidandrews action thriller sciencefiction savingtheworld artificialintelligence manvsmachine cyborg killerrobot sunglasses leatherjacket nanotechnology rocketlauncher firemen veterinarian fireengine dystopia psychiatrist
94,Guardians of the Galaxy,118340,jamesgunn chrispratt zoesaldana davebautista vindiesel bradleycooper action sciencefiction adventure marvelcomic spaceship space outerspace orphan adventurer aftercreditsstinger duringcreditsstinger marvelcinematicuniverse
95,Interstellar,157336,christophernolan matthewmcconaughey jessicachastain annehathaway michaelcaine caseyaffleck adventure drama sciencefiction savingtheworld artificialintelligence fathersonrelationship singleparent nasa expedition wormhole spacetravel famine blackhole dystopia raceagainsttime quantummechanics spaceship space rescue familyrelationships farmhouse robot astronaut scientist fatherdaughterrelationship singlefather farmer spacestation imax astrophysics zerogravity courage timeparadox relativity
96,Inception,27205,christophernolan leonardodicaprio josephgordon-levitt ellenpage tomhardy kenwatanabe action thriller sciencefiction mystery adventure lossoflover dream kidnapping sleep subconsciousness heist redemption femalehero
97,Shin Godzilla,315011,hideakianno hirokihasegawa yutakatakenouchi satomiishihara kengokora matsuosatoru action adventure drama horror sciencefiction monster godzilla giantmonster destruction kaiju toyko
98,The Hobbit: An Unexpected Journey,49051,peterjackson ianmckellen martinfreeman richardarmitage andyserkis cateblanchett adventure fantasy action riddle elves dwarves orcs middle-earth(tolkien) hobbit mountains wizard journey ring goblin courage giant tunnel undergroundlake buriedtreasure climbingatree invisibility ancient gnomes
99,The Fast and the Furious,9799,robcohen paulwalker vindiesel michellerodriguez jordanabrewster rickyune action crime thriller streetgang carrace undercover auto-tuning losangeles car automobileracing aftercreditsstinger duringcreditsstinger
100,The Curious Case of Benjamin Button,4922,davidfincher cateblanchett bradpitt tildaswinton juliaormond ellefanning fantasy drama thriller mystery romance diary navy funeral tea travel hospital
101,X-Men: First Class,49538,matthewvaughn jamesmcavoy michaelfassbender jenniferlawrence kevinbacon rosebyrne action sciencefiction adventure cia mutant mine marvelcomic superhero basedoncomicbook superhuman historicalfiction nuclearwar cubanmissilecrisis worldwariii 1960s
102,The Hunger Games: Mockingjay - Part 2,131634,francislawrence jenniferlawrence joshhutcherson liamhemsworth woodyharrelson elizabethbanks action adventure sciencefiction revolution strongwoman dystopia gameofdeath 3d basedonyoungadultnovel
103,The Sorcerer's Apprentice,27022,jonturteltaub nicolascage jaybaruchel monicabellucci alfredmolina teresapalmer fantasy adventure action comedy drama witch fire wolf fountain magic book castle water apprentice training merlin love mission sorcerer dragon aftercreditsstinger apprendista morgana
104,Poseidon,503,wolfgangpetersen kurtrussell richarddreyfuss joshlucas jacindabarrett emmyrossum adventure action drama thriller newyear'seve fire drowning cataclysm lossoffather atlanticocean ball self-abandonment shipwreck giantwave blackout ship daughter single escape capsizedship
105,Alice Through the Looking Glass,241259,jamesbobin johnnydepp miawasikowska annehathaway helenabonhamcarter alanrickman fantasy basedonnovel clock queen sequel aliceinwonderland darkfantasy madhatter 3d
106,Shrek the Third,810,chrismiller mikemyers eddiemurphy camerondiaz julieandrews antoniobanderas fantasy adventure animation comedy family ambush sadness stage liberationofprisoners island traitor shipwreck prince ship donkey kingdom theatreplay transformation conciliation tricks heirtothethrone assault boardingschool coupd'etat teacher bestfriend dragon cowardliness pregnancy capture duringcreditsstinger
107,Warcraft,68735,duncanjones paulapatton travisfimmel benfoster robertkazinsky dominiccooper action adventure fantasy videogame elves orcs magic chase basedoncomicbook sorcerer fictionalwar basedonvideogame wizard fictionallanguage muscles orc swordandsorcery
108,Terminator Genisys,87101,alantaylor arnoldschwarzenegger jasonclarke emiliaclarke jaicourtney j.k.simmons sciencefiction action thriller adventure savingtheworld artificialintelligence cyborg killerrobot future timetravel dystopia sequel fiction duringcreditsstinger 3d
109,The Chronicles of Narnia: The Voyage of the Dawn Treader,10140,michaelapted skandarkeynes georgiehenley simonpegg garysweet arthurangel adventure family fantasy basedonnovel magic goodvsevil king narnia fantasyworld knifeheldtothroat snowing quest
110,Pearl Harbor,676,michaelbay benaffleck joshhartnett katebeckinsale cubagoodingjr. jonvoight history romance war nurse patriotism hawaii worldwarii pilot pearlharbor u.s.airforce airplane war army love pin-up
111,Transformers,1858,michaelbay shialabeouf joshduhamel meganfox rachaeltaylor tyresegibson adventure sciencefiction action destroy transformation alien basedontoy transformers robot duringcreditsstinger teenagehero
112,Alexander,1966,oliverstone colinfarrell angelinajolie valkilmer jaredleto jonathanrhysmeyers war history action adventure drama romance aristotle egypt greece persia elephant campaign alexanderthegreat homosexuality gayrelationship ancientworld
113,Harry Potter and the Order of the Phoenix,675,davidyates danielradcliffe rupertgrint emmawatson michaelgambon ralphfiennes adventure fantasy family mystery prophecy witch lossoflover magic cuttingthecord childhero dyinganddeath broom sorcerer'sapprentice schoolofwitchcraft blackmagic deathofafriend sorcery occultism
114,Harry Potter and the Goblet of Fire,674,mikenewell danielradcliffe rupertgrint emmawatson ralphfiennes michaelgambon adventure fantasy family magic dyinganddeath broom sorcerer'sapprentice schoolofwitchcraft chosenone blackmagic boardingschool vision tournament teenager wizard teenagehero basedonyoungadultnovel
115,Hancock,8960,peterberg willsmith charlizetheron jasonbateman jaehead eddiemarsan fantasy action flying alcohol loveofone'slife forbiddenlove lovers affection advertisingexpert alcoholism invulnerability superhero pokies duringcreditsstinger
116,I Am Legend,6479,francislawrence willsmith alicebraga charlietahan sallirichardson-whitfield willowsmith drama horror action thriller sciencefiction savingtheworld lostcivilisation post-apocalyptic dystopia matteroflifeanddeath alone helplessness virus pandemic
117,Charlie and the Chocolate Factory,118,timburton johnnydepp freddiehighmore davidkelly annasophiarobb juliawinter adventure comedy family fantasy londonengland fathersonrelationship chocolate factoryworker basedonnovel parentskidsrelationship candy overweightchild grandfathergrandsonrelationship teacher
118,Ratatouille,2062,janpinkava pattonoswalt ianholm louromano briandennehy petersohn animation comedy family fantasy paris brotherbrotherrelationship expensiverestaurant river cook mouse confidence roof window leavingone'sfamily work restaurantcritic kitchen spice court cookbook family chef rat
119,Batman Begins,272,christophernolan christianbale michaelcaine liamneeson katieholmes garyoldman action crime drama himalaya martialarts dccomics crimefighter secretidentity undercover hero lossoffather society gothamcity vigilante superhero basedoncomicbook rivalry tragichero ninja goodvsevil crime superpowers hauntedbythepast evildoctor escapade mastervillain fightingcrime unfulfillment loveandromance unfulfilledlove
120,Madagascar: Escape 2 Africa,10527,ericdarnell benstiller jadapinkettsmith davidschwimmer chrisrock cedrictheentertainer family animation africa jealousy dance hunger lion zoo hippopotamus chimp penguin volcano madagascar airplane zebra sequel shark imax duringcreditsstinger
121,Night at the Museum: Battle of the Smithsonian,18360,shawnlevy benstiller amyadams owenwilson hankazaria robinwilliams adventure fantasy action comedy family museum theodoreroosevelt duringcreditsstinger ameliaearhart smithsonian
122,X-Men Origins: Wolverine,2080,gavinhood hughjackman lievschreiber dannyhuston lynncollins ryanreynolds adventure action thriller sciencefiction corruption mutant boxer army marvelcomic superhero aftercreditsstinger duringcreditsstinger
123,The Matrix Revolutions,605,lillywachowski keanureeves laurencefishburne carrie-annemoss hugoweaving maryalice adventure action thriller sciencefiction savingtheworld artificialintelligence manvsmachine flying philosophy fortuneteller kungfu undergroundworld killerrobot temple subway dream sun hero fight sunlight computervirus key future precognition supercomputer machinetown yingyang dyinganddeath virtualreality dystopia computer faith worldreligion truth rescue mission cyberpunk womandirector yinyang gnosticism
124,Frozen,109445,chrisbuck kristenbell idinamenzel jonathangroff joshgad santinofontana animation adventure family queen musical princess betrayal snowman animation reindeer curse snow troll mountainclimber aftercreditsstinger womandirector 3d
125,The Matrix Reloaded,604,lillywachowski keanureeves carrie-annemoss laurencefishburne hugoweaving helmutbakaitis adventure action thriller sciencefiction savingtheworld artificialintelligence manvsmachine martialarts kungfu undergroundworld dream hero fight computervirus key future plato precognition rave dyinganddeath virtualreality dystopia computer faith worldreligion truth mission cyberpunk womandirector gnosticism
126,Thor: The Dark World,76338,alantaylor chrishemsworth natalieportman tomhiddleston anthonyhopkins christophereccleston action adventure fantasy marvelcomic superhero basedoncomicbook hostiletakeover norsemythology aftercreditsstinger duringcreditsstinger marvelcinematicuniverse 3d asgard
127,Mad Max: Fury Road,76341,georgemiller tomhardy charlizetheron nicholashoult hughkeays-byrne joshhelman action adventure sciencefiction thriller future chase post-apocalyptic dystopia australia rescue survival ontherun convoy peakoil darkfuture
128,Angels & Demons,13448,ronhoward tomhanks ewanmcgregor ayeletzurer stellanskarsgård pierfrancescofavino thriller mystery rome vatican basedonnovel symbolism christian illuminati quantummechanics prequel antimatter conspiracy investigator catholicism cern
